Province_State,Country_Region,Days Passed,Infected,Deaths,Recovered,Active,Fatal per Confirmed,Recovered per Confirmed,Fatal per(Fatal or recovered),Growth Rate,Daily Confirmed,Population,Susceptible
South Carolina,US,77,9895,425,6063,3727,0.042950985,0.580394138,0.068904021,1,257,5150000,5134042
South Carolina,US,78,10096,435,6102,3918,0.043086371,0.568839144,0.070411136,0.782101167,201,5150000,5133802
South Carolina,US,79,10178,440,6102,3675,0.043230497,0.595696601,0.06766108,0.407960199,82,5150000,5133720
South Carolina,US,80,10416,446,6102,3868,0.04281874,0.585829493,0.068112401,2.902439024,238,5150000,5133482
South Carolina,US,81,10623,466,6459,4055,0.043867081,0.574414007,0.070950061,0.869747899,207,5150000,5132918
South Carolina,US,82,10788,470,6459,4216,0.043566926,0.565628476,0.07151552,0.797101449,165,5150000,5132753
South Carolina,US,83,11131,483,6459,4189,0.043392328,0.580271314,0.069576491,2.078787879,343,5150000,5132410
South Carolina,US,84,11394,487,6459,4448,0.042741794,0.566877304,0.070112295,0.766763848,263,5150000,5132147
South Carolina,US,85,11861,494,6817,4908,0.041649102,0.544557794,0.071048468,1.775665399,467,5150000,5131322
South Carolina,US,86,12148,500,6817,5189,0.041159039,0.53169246,0.071849404,0.614561028,287,5150000,5131035
South Carolina,US,87,12415,501,6976,4938,0.04035441,0.561900926,0.067005483,0.930313589,267,5150000,5130609
South Carolina,US,88,12415,501,6976,4938,0.04035441,0.561900926,0.067005483,0,0,5150000,5130609
South Carolina,US,89,12415,501,6976,4938,0.04035441,0.561900926,0.067005483,0,0,5150000,5130609
South Carolina,US,90,13453,539,7347,5567,0.040065413,0.546123541,0.068348973,0,1038,5150000,5129200
South Carolina,US,91,13453,539,7347,5567,0.040065413,0.546123541,0.068348973,0,0,5150000,5129200
South Carolina,US,92,14286,546,7347,6393,0.038219236,0.514279714,0.069175219,0,833,5150000,5128367
South Carolina,US,93,14800,557,7347,6896,0.037635135,0.496418919,0.070470648,0.617046819,514,5150000,5127853
South Carolina,US,94,15228,568,7928,6732,0.037299711,0.520619911,0.066854991,0.832684825,428,5150000,5126844
South Carolina,US,95,15759,575,7928,7256,0.036487087,0.503077606,0.067623192,1.240654206,531,5150000,5126313
South Carolina,US,96,16441,588,7928,7925,0.035764248,0.482209111,0.069046501,1.284369115,682,5150000,5125631
South Carolina,US,97,17170,593,8682,7895,0.034536983,0.505649388,0.06393531,1.068914956,729,5150000,5124148
South Carolina,US,98,17955,599,8682,8674,0.033361181,0.483542189,0.064540459,1.076817558,785,5150000,5123363
South Carolina,US,99,18795,600,8682,9513,0.031923384,0.461931365,0.064641241,1.070063694,840,5150000,5122523
South Carolina,US,100,19378,602,8682,10094,0.031066157,0.448033853,0.06484274,0.694047619,583,5150000,5121940
South Carolina,US,101,19990,607,9734,9649,0.030365183,0.486943472,0.058698385,1.04974271,612,5150000,5120276
South Carolina,US,102,20556,617,9734,10205,0.030015567,0.473535707,0.059607767,0.924836601,566,5150000,5119710
South Carolina,US,103,21533,621,9734,11178,0.028839456,0.452050341,0.059971028,1.72614841,977,5150000,5118733
South Carolina,US,104,22608,639,10790,11179,0.028264331,0.477264685,0.055910403,1.100307062,1075,5150000,5116602
South Carolina,US,105,23756,644,10790,12322,0.027332323,0.467172701,0.055392351,1.322198654,1148,5150000,5115454
